,vocab
0,[PAD]
1,[UNK]
2,[CLS]
3,[SEP]
4,[MASK]
5,!
6,""""
7,#
8,$
9,%
10,&
11,'
12,(
13,)
14,*
15,+
16,","
17,-
18,.
19,/
20,0
21,1
22,2
23,3
24,4
25,5
26,6
27,7
28,8
29,9
30,:
31,;
32,<
33,=
34,>
35,?
36,@
37,A
38,B
39,C
40,D
41,E
42,F
43,G
44,H
45,I
46,J
47,K
48,L
49,M
50,N
51,O
52,P
53,Q
54,R
55,S
56,T
57,U
58,V
59,W
60,X
61,Y
62,Z
63,[
64,\
65,]
66,^
67,##
68,`
69,a
70,b
71,c
72,d
73,e
74,f
75,g
76,h
77,i
78,j
79,k
80,l
81,m
82,n
83,o
84,p
85,q
86,r
87,s
88,t
89,u
90,v
91,w
92,x
93,y
94,z
95,{
96,|
97,}
98,~
99,¡
100,¢
101,£
102,¥
103,§
104,©
105,«
106,¬
107,®
108,°
109,±
110,²
111,³
112,´
113,µ
114,¶
115,·
116,¸
117,¹
118,º
119,»
120,¼
121,½
122,¾
123,¿
124,À
125,Á
126,Â
127,Ä
128,Å
129,Æ
130,Ç
131,È
132,É
133,Í
134,Ð
135,Ó
136,Ö
137,×
138,Ø
139,Ú
140,Ü
141,Þ
142,ß
143,à
144,á
145,â
146,ã
147,ä
148,å
149,æ
150,ç
151,è
152,é
153,ê
154,ë
155,ì
156,í
157,î
158,ï
159,ð
160,ñ
161,ò
162,ó
163,ô
164,õ
165,ö
166,÷
167,ø
168,ù
169,ú
170,û
171,ü
172,ý
173,þ
174,Ā
175,ā
176,ă
177,ą
178,ć
179,ĉ
180,Č
181,č
182,Đ
183,đ
184,ē
185,ĕ
186,ė
187,ę
188,ě
189,ĝ
190,ğ
191,ī
192,ĭ
193,İ
194,ı
195,ł
196,ń
197,ŋ
198,Ō
199,ō
200,ŏ
201,Œ
202,œ
203,ř
204,Ś
205,ś
206,ŝ
207,Ş
208,ş
209,Š
210,š
211,ũ
212,ū
213,ŭ
214,ż
215,ž
216,ſ
217,ƒ
218,ơ
219,ư
220,ƿ
221,ǎ
222,ǐ
223,ǒ
224,ǔ
225,ǣ
226,ș
227,Ȝ
228,ȝ
229,ȳ
230,ɐ
231,ɑ
232,ɔ
233,ɕ
234,ə
235,ɛ
236,ɡ
237,ɨ
238,ɪ
239,ɯ
240,ɹ
241,ɾ
242,ʁ
243,ʃ
244,ʊ
245,ʌ
246,ʑ
247,ʒ
248,ʔ
249,ʰ
250,ʲ
251,ʻ
252,ʼ
253,ˈ
254,ː
255,˚
256,́
257,̃
258,̍
259,̚
260,̞
261,̯
262,͡
263,΄
264,Α
265,Β
266,Γ
267,Δ
268,Ε
269,Θ
270,Ι
271,Κ
272,Λ
273,Μ
274,Ν
275,Ο
276,Π
277,Ρ
278,Σ
279,Τ
280,Υ
281,Φ
282,Χ
283,Ψ
284,Ω
285,ά
286,έ
287,ή
288,ί
289,α
290,β
291,γ
292,δ
293,ε
294,ζ
295,η
296,θ
297,ι
298,κ
299,λ
300,μ
301,ν
302,ξ
303,ο
304,π
305,ρ
306,ς
307,σ
308,τ
309,υ
310,φ
311,χ
312,ψ
313,ω
314,ό
315,ύ
316,ώ
317,Ё
318,А
319,Б
320,В
321,Г
322,Д
323,Е
324,Ж
325,З
326,И
327,К
328,Л
329,М
330,Н
331,О
332,П
333,Р
334,С
335,Т
336,У
337,Ф
338,Х
339,Ц
340,Ч
341,Ш
342,Э
343,Ю
344,Я
345,а
346,б
347,в
348,г
349,д
350,е
351,ж
352,з
353,и
354,й
355,к
356,л
357,м
358,н
359,о
360,п
361,р
362,с
363,т
364,у
365,ф
366,х
367,ц
368,ч
369,ш
370,щ
371,ъ
372,ы
373,ь
374,э
375,ю
376,я
377,ё
378,і
379,ј
380,ѣ
381,қ
382,ң
383,ү
384,ә
385,ө
386,ա
387,ե
388,ի
389,կ
390,մ
391,յ
392,ն
393,ո
394,ս
395,վ
396,տ
397,ր
398,ւ
399,ָ
400,ּ
401,א
402,ב
403,ד
404,ה
405,ו
406,ח
407,י
408,כ
409,ל
410,ם
411,מ
412,ן
413,נ
414,ס
415,ע
416,פ
417,ק
418,ר
419,ש
420,ת
421,آ
422,أ
423,إ
424,ئ
425,ا
426,ب
427,ة
428,ت
429,ج
430,ح
431,خ
432,د
433,ذ
434,ر
435,ز
436,س
437,ش
438,ص
439,ط
440,ع
441,غ
442,ـ
443,ف
444,ق
445,ك
446,ل
447,م
448,ن
449,ه
450,و
451,ى
452,ي
453,َ
454,ُ
455,ِ
456,ّ
457,ْ
458,پ
459,ک
460,گ
461,ی
462,ं
463,ः
464,क
465,ग
466,च
467,ज
468,ण
469,त
470,द
471,ध
472,न
473,प
474,ब
475,भ
476,म
477,य
478,र
479,ल
480,व
481,श
482,ष
483,स
484,ह
485,ा
486,ि
487,ी
488,ु
489,े
490,ो
491,्
492,॥
493,া
494,்
495,ก
496,ค
497,ง
498,จ
499,ช
500,ด
501,ต
502,ท
503,น
504,บ
505,ป
506,พ
507,ม
508,ย
509,ร
510,ล
511,ว
512,ส
513,ห
514,อ
515,ะ
516,ั
517,า
518,ิ
519,ี
520,ื
521,ุ
522,เ
523,ไ
524,็
525,่
526,้
527,์
528,๎
529,་
530,ა
531,ე
532,ი
533,ლ
534,ო
535,რ
536,ს
537,ᄀ
538,ᄂ
539,ᄃ
540,ᄅ
541,ᄆ
542,ᄇ
543,ᄉ
544,ᄋ
545,ᄌ
546,ᄎ
547,ᄒ
548,ᄠ
549,ᄫ
550,ᄭ
551,ᄯ
552,ᅀ
553,ᅌ
554,ᅡ
555,ᅥ
556,ᅧ
557,ᅩ
558,ᅮ
559,ᅳ
560,ᅵ
561,ᆞ
562,ᆡ
563,ᆨ
564,ᆫ
565,ᆯ
566,ᆷ
567,ᆺ
568,ᆼ
569,ᇰ
570,្
571,ᠠ
572,ᠣ
573,ᠨ
574,ᠪ
575,ᠭ
576,ᠮ
577,ᠯ
578,ᠰ
579,ᡝ
580,ᡠ
581,ᡤ
582,ᡥ
583,ᡳ
584,ᡵ
585,ḍ
586,ḥ
587,ḳ
588,ṇ
589,ṣ
590,ṭ
591,ạ
592,ả
593,ầ
594,ẽ
595,ế
596,ễ
597,ệ
598,ị
599,ộ
600,ἀ
601,Ἀ
602,ἐ
603,ἰ
604,ὁ
605,ὐ
606,ὰ
607,ὶ
608,ὸ
609,ῆ
610,ῖ
611,ῦ
612,ῶ
613,‐
614,‑
615,‒
616,–
617,—
618,―
619,‘
620,’
621,‚
622,“
623,”
624,„
625,†
626,‡
627,•
628,․
629,‥
630,…
631,‧
632,′
633,″
634,‹
635,›
636,※
637,⁊
638,ⁿ
639,₡
640,₩
641,€
642,℃
643,ℓ
644,™
645,⅓
646,⅔
647,Ⅰ
648,Ⅱ
649,Ⅲ
650,Ⅳ
651,Ⅴ
652,Ⅵ
653,Ⅶ
654,Ⅷ
655,Ⅸ
656,Ⅹ
657,←
658,↑
659,→
660,↓
661,↔
662,↕
663,↖
664,↗
665,↘
666,↙
667,↻
668,⇒
669,⇓
670,⇔
671,∀
672,−
673,∙
674,√
675,∞
676,∥
677,∼
678,≈
679,≒
680,≠
681,≤
682,≥
683,≪
684,≫
685,⊙
686,⋅
687,⋯
688,⌀
689,①
690,②
691,③
692,④
693,⑤
694,⑥
695,⑦
696,⑧
697,⑨
698,⑩
699,⑫
700,⑮
701,⑲
702,⑶
703,⑸
704,Ⓐ
705,ⓐ
706,ⓑ
707,ⓒ
708,ⓗ
709,ⓚ
710,ⓢ
711,─
712,━
713,│
714,┃
715,┏
716,┓
717,└
718,┗
719,┛
720,├
721,┠
722,┣
723,┼
724,▀
